sex,age,Nepal,Koshi,Madhesh,Bagmati,Gandaki,Lumbini,Karnali,Sudurpaschim
f,15,301378,48185,65280,52807,23147,56051,21782,34126
f,16,302206,47393,67716,54599,22399,56350,21204,32545
f,17,265803,45383,48899,53538,22647,50206,17253,27877
f,18,347802,53893,78526,65250,25784,63941,23849,36559
f,19,254692,44311,41010,55906,22641,48309,17104,25411
f,20,373473,56153,96893,67952,25659,66283,22561,37972
f,21,253194,44266,38967,55937,23057,47762,17359,25846
f,22,315694,50421,68280,63074,24456,57749,19821,31893
f,23,266665,44305,45500,59189,23637,50792,16658,26584
f,24,273016,45329,47871,61306,23623,51536,16068,27283
f,25,342705,54892,89881,65806,25116,60162,17058,29790
f,26,270852,45715,47081,61378,23999,51852,15274,25553
f,27,219359,39297,34282,52433,20764,41291,11701,19591
f,28,312667,50765,65876,68015,25398,58425,16248,27940
f,29,191524,35126,21169,49257,21162,37599,10204,17007
f,30,356890,52340,100941,67846,25127,61992,16502,32142
f,31,162568,30343,16238,44381,17842,31230,8616,13918
f,32,246067,41447,46881,55783,21247,46100,12482,22127
f,33,214930,41346,29318,53683,20697,39789,11419,18678
f,34,188281,34322,25146,47640,18950,36141,9850,16232
f,35,337657,51534,100781,61356,22969,55655,15367,29995
f,36,207204,36868,32859,51186,19514,37836,10680,18261
f,37,158909,30994,20698,41190,16596,29160,7674,12597
f,38,248749,41302,50432,54660,20714,46343,12800,22498
f,39,152042,30287,16432,40527,16818,28659,7367,11952
f,40,326933,48998,89207,63642,23390,54163,16231,31302
f,41,121300,24281,11148,33990,13870,22289,6006,9716
f,42,188314,34928,29659,46813,18032,33847,9458,15577
f,43,157253,29922,19369,40195,16488,28948,8666,13665
f,44,125539,25813,13784,33800,13765,22037,6087,10253
f,45,238926,36296,68205,44421,17578,37911,11702,22813
f,46,135628,26355,16685,35181,14659,24000,7322,11426
f,47,100334,19916,11697,27138,11411,17370,4923,7879
f,48,167577,28920,31253,39045,15359,28880,8817,15303
f,49,106050,21842,11357,28282,12418,18562,5361,8228
f,50,258058,40665,65414,50762,20040,41727,13394,26056
f,51,101788,21409,9873,26659,12193,18281,5004,8369
f,52,135860,26831,19427,33135,14219,23816,6588,11844
f,53,120348,24637,14360,30088,13536,21932,5767,10028
f,54,105304,21677,12003,27268,12113,18853,4859,8531
f,55,166013,27115,44960,30878,13524,26429,7756,15351
f,56,106545,22579,13015,26191,12293,18317,5298,8852
f,57,75505,16158,8310,19046,9581,12893,3709,5808
f,58,115271,21745,18268,25772,12657,20249,6204,10376
f,59,75052,16473,6728,19660,10199,12981,3622,5389
f,60,185522,29589,47664,35502,16262,29588,9075,17842
f,61,67512,15044,6553,16892,9293,11378,3485,4867
f,62,90458,18635,13620,20232,10371,15660,4644,7296
f,63,79025,16192,10385,18542,9695,13657,4094,6460
f,64,67125,13918,7915,16269,8702,11905,3259,5157
f,65,126465,20040,35843,21965,10876,20740,5524,11477
f,66,67851,14403,8482,15781,8781,12028,3143,5233
f,67,58848,11999,6769,14652,8151,10272,2541,4464
f,68,80839,14800,15319,16485,8787,14046,3788,7614
f,69,57926,11817,8254,13165,7127,10250,2588,4725
f,70,116609,16759,32464,19166,9972,18870,5928,13450
f,71,51238,10319,7014,11550,6379,8970,2470,4536
f,72,63086,10588,12577,12870,7090,10669,2889,6403
f,73,47246,9233,6582,10553,6087,7574,2343,4874
f,74,39137,7820,4618,9546,5000,6614,1788,3751
f,75,63363,9670,16775,11781,5837,9650,2470,7180
f,76,37802,6936,4078,10493,4910,5807,1785,3793
f,77,36501,7952,2639,10492,5222,5742,1510,2944
f,78,30765,5206,4128,7526,4100,5119,1416,3270
f,79,13774,3262,917,4036,2108,1985,482,984
f,80,33130,5009,7302,7298,3407,5018,1117,3979
f,81,11771,2693,668,3495,2011,1729,366,809
f,82,14323,2905,1066,4429,2245,2132,435,1111
f,83,12913,2911,691,3896,2252,1719,393,1051
f,84,11104,2338,590,3785,1828,1415,334,814
f,85,13084,2439,2501,3497,1390,1799,321,1137
f,86,7255,1550,461,2540,1024,925,193,562
